value,probability,distribution_name
3,0.0003,BonusDice_ThreeDicePool_3d6
4,0.00054,BonusDice_ThreeDicePool_3d6
5,0.00082,BonusDice_ThreeDicePool_3d6
6,0.00848,BonusDice_ThreeDicePool_3d6
7,0.00978,BonusDice_ThreeDicePool_3d6
8,0.02976,BonusDice_ThreeDicePool_3d6
9,0.1142,BonusDice_ThreeDicePool_3d6
10,0.08812,BonusDice_ThreeDicePool_3d6
11,0.1073,BonusDice_ThreeDicePool_3d6
12,0.24528,BonusDice_ThreeDicePool_3d6
13,0.1399,BonusDice_ThreeDicePool_3d6
14,0.07228,BonusDice_ThreeDicePool_3d6
15,0.10202,BonusDice_ThreeDicePool_3d6
16,0.02796,BonusDice_ThreeDicePool_3d6
17,0.02812,BonusDice_ThreeDicePool_3d6
18,0.0276,BonusDice_ThreeDicePool_3d6
