value,probability,distribution_name
3,0.02508,PenaltyDice_ThreeDicePool_3d6
4,0.02634,PenaltyDice_ThreeDicePool_3d6
5,0.02558,PenaltyDice_ThreeDicePool_3d6
6,0.10384,PenaltyDice_ThreeDicePool_3d6
7,0.07412,PenaltyDice_ThreeDicePool_3d6
8,0.13596,PenaltyDice_ThreeDicePool_3d6
9,0.25014,PenaltyDice_ThreeDicePool_3d6
10,0.10624,PenaltyDice_ThreeDicePool_3d6
11,0.0907,PenaltyDice_ThreeDicePool_3d6
12,0.1118,PenaltyDice_ThreeDicePool_3d6
13,0.03118,PenaltyDice_ThreeDicePool_3d6
14,0.00896,PenaltyDice_ThreeDicePool_3d6
15,0.0079,PenaltyDice_ThreeDicePool_3d6
16,0.00094,PenaltyDice_ThreeDicePool_3d6
17,0.00062,PenaltyDice_ThreeDicePool_3d6
18,0.00014,PenaltyDice_ThreeDicePool_3d6
