value,probability,distribution_name
1,0.000133333,BonusDice_Dice_d100
2,0.000133333,BonusDice_Dice_d100
3,0.000566667,BonusDice_Dice_d100
4,0.000666667,BonusDice_Dice_d100
5,0.000533333,BonusDice_Dice_d100
6,0.0008,BonusDice_Dice_d100
7,0.00123333,BonusDice_Dice_d100
8,0.00153333,BonusDice_Dice_d100
9,0.00166667,BonusDice_Dice_d100
10,0.00206667,BonusDice_Dice_d100
11,0.00216667,BonusDice_Dice_d100
12,0.0023,BonusDice_Dice_d100
13,0.0022,BonusDice_Dice_d100
14,0.00266667,BonusDice_Dice_d100
15,0.0036,BonusDice_Dice_d100
16,0.00296667,BonusDice_Dice_d100
17,0.00323333,BonusDice_Dice_d100
18,0.00333333,BonusDice_Dice_d100
19,0.00376667,BonusDice_Dice_d100
20,0.0037,BonusDice_Dice_d100
21,0.00443333,BonusDice_Dice_d100
22,0.00443333,BonusDice_Dice_d100
23,0.0048,BonusDice_Dice_d100
24,0.0053,BonusDice_Dice_d100
25,0.0046,BonusDice_Dice_d100
26,0.00486667,BonusDice_Dice_d100
27,0.00483333,BonusDice_Dice_d100
28,0.00586667,BonusDice_Dice_d100
29,0.0055,BonusDice_Dice_d100
30,0.00646667,BonusDice_Dice_d100
