value,probability,distribution_name
1,0.01,Dice_d100
2,0.0102667,Dice_d100
3,0.00956667,Dice_d100
4,0.0110667,Dice_d100
5,0.011,Dice_d100
6,0.0101,Dice_d100
7,0.0098,Dice_d100
8,0.0101667,Dice_d100
9,0.00953333,Dice_d100
10,0.0109333,Dice_d100
11,0.0107333,Dice_d100
12,0.00993333,Dice_d100
13,0.00966667,Dice_d100
14,0.0095,Dice_d100
15,0.0102,Dice_d100
16,0.00983333,Dice_d100
17,0.0106333,Dice_d100
18,0.00953333,Dice_d100
19,0.0101,Dice_d100
20,0.0107,Dice_d100
21,0.0101,Dice_d100
22,0.00986667,Dice_d100
23,0.00983333,Dice_d100
24,0.00963333,Dice_d100
25,0.00856667,Dice_d100
26,0.0097,Dice_d100
27,0.00903333,Dice_d100
28,0.00976667,Dice_d100
29,0.00926667,Dice_d100
30,0.0102667,Dice_d100
