value,probability,distribution_name
1,0.0183667,PenaltyDice_Dice_d100
2,0.0195333,PenaltyDice_Dice_d100
3,0.0194667,PenaltyDice_Dice_d100
4,0.0191,PenaltyDice_Dice_d100
5,0.0211667,PenaltyDice_Dice_d100
6,0.0192667,PenaltyDice_Dice_d100
7,0.0180333,PenaltyDice_Dice_d100
8,0.0191,PenaltyDice_Dice_d100
9,0.0199333,PenaltyDice_Dice_d100
10,0.0191333,PenaltyDice_Dice_d100
11,0.0179667,PenaltyDice_Dice_d100
12,0.0166667,PenaltyDice_Dice_d100
13,0.0174667,PenaltyDice_Dice_d100
14,0.0163667,PenaltyDice_Dice_d100
15,0.0163,PenaltyDice_Dice_d100
16,0.0171,PenaltyDice_Dice_d100
17,0.0166,PenaltyDice_Dice_d100
18,0.0166667,PenaltyDice_Dice_d100
19,0.0153667,PenaltyDice_Dice_d100
20,0.0160667,PenaltyDice_Dice_d100
21,0.0156667,PenaltyDice_Dice_d100
22,0.0154333,PenaltyDice_Dice_d100
23,0.0156667,PenaltyDice_Dice_d100
24,0.0153333,PenaltyDice_Dice_d100
25,0.0146,PenaltyDice_Dice_d100
26,0.0133667,PenaltyDice_Dice_d100
27,0.0151667,PenaltyDice_Dice_d100
28,0.0145333,PenaltyDice_Dice_d100
29,0.0157,PenaltyDice_Dice_d100
30,0.014,PenaltyDice_Dice_d100
